Title	Alternative Title	Year	Director	ASL	Country	Scope	Cinematographer	Editor	Studio
Abduction 		2011	Singleton, John 	3.26	USA 	s 	Menzies, Jr., Peter 	Cannon, Bruce 	
Abduction Club, The 		2002	Schwartz, Stefan 	3.6			Atherton, Howard 	Power, Pamela 	
Abe Lincoln in Illinois 	Spirit of the People 	1940	Cromwell, John 	9.23	USA 		Howe, James Wong 	Hively, George 	RKO
Aberration 		1997	Boxell, Tim 	3.5	AUS 		Guilford, Allen 	Gilbert, John 	
Abhijaan 		1962	Ray, Satyajit 	9.9	IND 		Roy, Soumendu 	Datta, Dulal 	
Abhimaan 		1973	Mukherjee, Hrishikesh 	9.2	IND 		Pathare, Jaywant 	Dhaimade, Das 	
Abominable Dr. Phibes, The 		1971	Fuest, Robert 	6.9	BRI 		Warwick, Norman 	Cones, Tristam V. 	
Abominable Snowman, The 		1957	Guest, Val 	12.2	BRI 	s 	Grant, Arthur 	Lenny, Bill 	
Abouna 		2002	Haroun, Mahmat-Saleh 	21.1			Biru, Abraham Haile 	Matton, Sarah Taouss 	
About a Boy 		2002	Weitz, Chris & Paul 	3.8			Adefarasin, Remi 	Moore, Nick 	WT
About Adam 		2000	Stembridge, Gerard 	7.5	IRE 		Keyzer, Bruno de 	Finlay, Mary 	
About Last Night 		1986	Zwick, Edward 	8.25	USA 		Dintenfass, Andrew 	Keramidas, Harry 	TRI
About Schmidt 		2002	Payne, Alexander 	7.52	USA 		Glennon, James 	Tent, Kevin 	
Above the Law 		1988	Davis, Andrew 	3.3	USA 		Steadman, Robert 	Brown, Michael 	WAR
Above Us the Waves 		1955	Thomas, Ralph 	7.41	BRI 		Steward, Ernest 	Thomas, Gerald 	
Abraham Lincoln: Vampire Hunter 		2012	Bekmambetov, Timur 	3.1		s 	Deschanel, Caleb 	Hoy, William 	
Abre los ojos 	Open Your Eyes 	1997	Amenabar, Alejandro 	5.4	SPA 		Burmann, Hans 	Sainz de Rojas, M. E 	
Abroad with Two Yanks 		1944	Dwan, Allan 	12.1	USA 		Lawton, Charles 	Heermance, Richard 	SMA
Abschied aus Buckow 	Farewell, The 	2000	Schütte, Jan 	13.9	GER 		Klosinski, edward 	Merck, Renate 	
Absence of Malice 		1981	Pollack, Sydney 	5.13	USA 		Roizman, Owen 	Kahn, Sheldon 	
Absentia 		2011	Flanagan, Mike 	3.89	USA 		Cervanyi, Rustin 	Flanagan, Mike 	
Absent-minded Professor, The 		1961	Stevenson, Robert 	4.8	USA 				DIS
Absolute Beginners 		1986	Temple, Julien 	4.24	BRI 	s 	Stapleton, Oliver 	Bradsell, Hambling, Bedford, Lloyd 	
Absolute Power 		1996	Eastwood, Clint 	5	USA 	s 	Green, Jack 	Cox, Joel 	CRO
Abwege 	Crisis 	1928	Pabst, G. W. 	6.2	GER 		Sparkuhl, Theodor 		
Abyss, The 		1989	Cameron, James 	4.68	USA 		Salomon, Mikael 	Goodman, Joel 	
Acacias, las 		2011	Giorgelli, Pablo 	15.02			Poleri, Diego 	Astrauskas, Maria 	
Accattone 		1961	Pasolini, Pier Paolo 	6.9	ITA 		Delli Colli, Tonino 	Barigli, Nino 	
Accepted 		2006	Pink, Steve 	3.22	USA 		Leonetti, Matthew 	Hill, Scott 	UNI
Accident 		1967	Losey, Joseph 	10.7	BRI 		Fisher, Gerry 	Beck, Reginald 	
Accidental Hero 		1992	Frears, Stephen 	6.89	USA 		Stapleton, Oliver 	Audsley, Mick 	COL
Accidental Husband, The 		2008	Dunne, Griffin 	3.33			Rexer II, William 	Elmiger, Suzy 	
Accidental Tourist, The 		1988	Kasdan, Lawrence 	8.9	USA 		Bailery, John 	Littleton, Carol 	WAR
Accused, The 		1988	Kaplan, Jonathan 	4.69	USA 		Bode, Ralf 	Greenberg, J. & Brown, O. 	PAR
Ace Ventura: Pet Detective 		1993	Shadyac, Tom 	4.95	USA 		Macat, Julio 	Zimmerman, Don 	MCR
Ace Ventura: When Nature Calls 		1995	Oedekerk, Steve 	4.4	USA 		Thorin, Donald E. 	Campbell, Malcolm 	MCR
Aces and Eights 		1936	Newfield, Sam 	6.85	USA 		Greenhalgh, Jack 	English, Jack 	
Aces High 		1976	Gold, Jack 	4.25	BRI 		Fisher, Gerry 	Coates, Anne V. 	
Aces: Iron Eagle III 		1993	Glen, John 	3.6	USA 		Mills, Alec 	Gribble, Bernard 	
Acid House, The 		1998	McGuigan, Paul 	4.9	BRI 		Walker, Alasdair 	Hulme, Andrew 	
Acquamarine 		2006	Allen, Elizabeth 	2.51	USA 		Breheny, Brian 	Moran, Jane 	FOX
Acquasanta Joe 		1971	Gariazzo, Mario 	7.8	ITA 	s 			
Across 110th. Street 		1972	Shear, Barry 	5.4	USA 		Priestley, Jack 	Brandt, B & Pingitor 	
Across the Pacific 		1942	Huston, John 	10.1	USA 		Edeson, Arthur 	Magee, Frank K. 	WAR
Across the Rio Grande 		1949	Drake, Oliver 	8.4	USA 		Neumann, Harry 	Fuller, John C. 	MGR
Across the Tracks 		1991	Tung, Sandy 	6.5	USA 		De La Houssaye, M. 	Levy, Farrell 	
Across the Wide Missouri 		1951	Wellman, William 	5.56	USA 		Mellor, William C. 	Dunning, John 	MGM
Act of God 		2009	Faughnan, Sean 	4.36	BRI 		Kam, Milton & Lundstrom, ¨ysten 	Putland, Ben & Walantzpolou, R. 	
Act of Love 		1953	Litvak, Anatole 	12	USA 		Thirard, Armand 	Hornbeck, William 	
Act of Necessity 		1991	Munro, Ian 	11.1	AUS 		Windon, Stephen 	Archer, Robin 	
Act of the Heart 		1970	Almond, Paul 	9.6	CAN 		Boffety, Jean 	Mitchell, James 	
Action in Arabia 		1944	Moguy, Leonide 	5.1	USA 		Hunt, Roy 	Swink, Robert 	RKO
Action in the North Atlantic 		1943	Bacon, Lloyd 	4.46	USA 		McCord, Ted 	Amy, George 	WAR
Action Jackson 		1988	Baxley, Craig R. 	3.8	USA 		Leonetti, Matthew F. 	Helfrich, Mark 	
Actors, The 		2003	McPherson, Conor 	3.03			McGarvey, Seamus 	Reynolds, Emer 	
Actress, The 		1953	Cukor, George 	26.7	USA 		Rosson, Harold 	Boemler, George 	MGM
Ada 		1961	Mann, Daniel 	11.5	USA 	s 	Ruttenberg, Joseph 	Winters, Ralph E. 	MGM
Adam 		2009	Mayer, Max 	6.77	USA 	s 	Tierney, Seamus 	Myers, Grant 	
Adam & Paul 		2004	Abrahamson, Lenny 	5.26	IRE 		Mather, James 	Stephenson, Isobel 	
Adam and Evelyne 		1949	French, Harold 	11.2	BRI 		Green, Guy 	Guthridge, John D. 	2CI
Adam's Apple 		1928	Beaudine, William 	6.5	BRI 		Guissart & ? 		BIP
Adam's Rib 		1949	Cukor, George 	15	USA 				
Adaptation 		2002	Jonze, Spike 	4.18	USA 		Acord, Lance 	Zumbrunnen, Eric 	
Addams Family Values 		1993	Sonnenfeld, Barry 	3.8	USA 		Peterman, Don 	Schmidt & Miller, J. 	
Addams Family, The 		1991	Sonnenfeld, Barry 	3.3	USA 				
Addicted to Love 		1997	Dunne, Griffin 	3.5	USA 		Dunn, Andrew 	Kling, Elizabeth 	WAR
Addiction, The 		1994	Ferrara, Abel 	20	USA 		Kelsch, Ken 	Lo, Maylin 	
Adding Machine, The 		1969	Epstein, Jerome 	7.7			Lassaly, Walter 	Hambling, Gerry 	UNI
Adhikari 	Right 	1986	Sadanah, Vijay 	6.9	IND 		Rao, Kamlakar 	Dave, Prakash 	
Adjuster, The 		1991	Egoyan, Atom 	16.7	CAN 				
Adjustment Bureau, The 		2010	Nolfi, George 	4.3	USA 		Toll, John 	Rabinowitz, Jay 	
Adolf Hitler - My Part in His Downfall 		1972	Cohen, Norman 	6.7	BRI 		Maher, Terry 	Lenny, Tony 	
Adrenalin: Feel the Rush 		1996	Pyun, Albert 	2.9	USA 	s 	Maroodian, George 	Morrisey, Ken 	LAR
Adulthood 		2008	Clarke, Noel 	2.77	BRI 		Tufano, Brian 	Hemmings, Tom 	
Adventure for Two, An 		1979	Lelouch, Claude 	15.5	FRA 				
Adventure of Sherlock Holmes' Smarter Brot 		1975	Wilder, Gene 	5.7	BRI 		Fisher, Gerry 	Clark, Jim 	FOX
Adventureland 		2009	Mottola, Greg 	4.7	USA 		Stacey, Terry 	McCabe, Anne 	MMX
Adventurers, The 		1950	MacDonald, David 	9.28	BRI 		Morris, Oswald 	Sagovsky, V. 	
Adventurers, The 		1970	Gilbert, Lewis 	5.5	USA 	s 	Renoir, Claude 	Coates, Anne V. 	PAR
Adventures in Babysitting 	Night on the Town, A 	1987	Columbus, Chris 	3.2	USA 		Waite, Ric 	Steinkamp, F. & W. 	TOU
Adventures in Dinosaur City 		1992	Thompson, Brett 	4.4	USA 		Fichter, Rick 	Miller, P. & Canney, 	
Adventures of a Plumber's Mate 		1978	Long, Stanley 	7.4	BRI 		Sinclair, Peter 	Gannon, Jo 	
Adventures of a Private Eye 		1977	Long, Stanley 	5.7	BRI 		Sinclair, Peter 	Gannon, Jo 	
Adventures of a Taxi Driver 		1975	Long, Stanley A. 	5	BRI 		Sinclair, Peter 	Gannon, Jo 	
Adventures of Baron Munchausen, The 		1988	Gilliam, Terry 	3.28	USA 		Rotunno, Giuseppe 	Hollywood, Peter 	COL
Adventures of Barry Mackenzie, The 		1972	Beresford, Bruce 	5.61			McAlpine, Don 	Scott, J. & Anderson 	
Adventures of Huckleberry Finn, The 		1939	Thorpe, Richard 	7.6	USA 		Seitz, John 	Hull, Frank E. 	MGM
Adventures of Mark Twain, The 		1944	Rapper, I. 	5.5	USA 				
Adventures of Michael Strogoff, The 		1937	Nichols, Jr., George 	4.22	USA 		August, Joseph 	Knudtson, Frederic 	RKO
Adventures of Milo and Otis, The 		1986	Hata, Masanori 	5	JAP 		Fuji, H. & Tomra, S. 	Okada, Chizuko 	
Adventures of Pluto Nash, The 		2001	Underwood, Ron 	3.07	USA 		Wood, Oliver 	Hirsh & Heim 	
Adventures of Priscilla, Queen of the Dese 		1994	Elliot, Stephan 	5.3	AUS 	s 	Breheny, Brian J. 	Blainey, Sue 	PGR
Adventures of Robin Hood, The 		1938	Curtiz, M. & Keighley, W. 	4.76	USA 		Polito, S. & Gaudio 	Dawson, Ralph 	WAR
Adventures of Rocky and Bullwinkle, The 		1999	McAnuff, Des 	3.8	USA 		Ackerman, Thomas 	Virkler, Denis 	UNI
Adventures of Sherlock Holmes, The 		1939	Werker, Alfred 	9.8	USA 		Shamroy, Leon 	Bischoff, Robert 	FOX
Advice to the Lovelorn 		1933	Werker, Alfred 	10.4	USA 		Van Trees, James 	McNeil, Allen 	FOX
Advise and Consent 		1962	Preminger, Otto 	17	USA 	s 	Leavitt, Sam 	Loeffler, Louis 	
Ae Fond Kiss… 		2004	Loach, Ken 	11.27	BRI 		Ackroyd, Barry 	Morris, Jonathan 	
Aeon Flux 		2005	Kusama, Karyn 	1.96	USA 		Dryburgh, Stuart 	Honess, Tucker, Succo 	PAR
Affair in Trinidad 		1952	Sherman, Vincent 	8.7	USA 		Walker, Joseph 	Lawrence, Viola 	COL
Affair of the Necklace, The 		2001	Shyer, Charles 	3.5	USA 	s 	Rowe, Ashley 	Moritz, David 	
Affair to Remember, An 		1957	McCarey, Leo 	13.34	USA 	s 	Krasner, Milton 	Clark, James B. 	FOX
Affair With a Stranger 		1953	Rowland, Roy 	9.93	USA 		Wild, Harry J. 	Amy, George 	RKO
Affairs of Anatole, The 		1921	DeMille, Cecil B. 	8	USA 				
Affairs of Jimmy Valentine, The 		1942	Vorhaus, Bernard 	9.5	USA 		Alton, John 	O'Neill, Howard 	
Affiche, L' 		1924	Epstein, Jean 	8.5	FRA 		Desfassieux, Maurice 		
Affliction 		1997	Schrader, Paul 	11.04	USA 		Sarossy, Paul 	Rabinowicz, Jay 	LGO
Afrance, L' 		2001	Gomis, Alain 	15.2			Stoeber, Pierre 	Rouaud, Fabrice 	
Africa - Texas Style! 		1967	Marton, Andrew 	4.88			Beeson, Paul 	Richardson, Henry 	
Africa United 		2010	Gardner-Patterson, Debs 	2.66		s 	Bobbit, Sean 	Boydell, Victoria 	
African Queen, The 		1952	Huston, John 	9.3	BRI 		Cardiff, Jack 		ROM
Afrodite 	Aphrodite, Goddess of Love 	1957	Bonnard, Mario 	15.5	ITA 		Santoni, Tino 		
After Dark, My Sweet 		1990	Foley, James 	6.7	USA 		Plummer, Mark 	Smith, Howard 	
After Hours 		1985	Scorsese, Martin 	6.77	USA 		Ballhaus, Michael 	Schoonmaker, Thelma 	
After Life 			Koreeda Hirokazu 	18.5	JAP 		Sukita & Yamazaki 	Koreeda Hirokazu 	
After Midnight 		1927	Bell, Monta 	4.7	USA 				
After the Sunset 		2004	Ratner, Brett 	3.94	USA 		Spinotti, Dante 	Helfrich, Mark 	NLI
After Tomorrow 		1932	Borzage, Frank 	13.5	USA 		Howe, James Wong 	Clancey, Margaret 	FOX
Against all Flags 		1952	Sherman, George 	7.7	USA 		Metty, Russell 	Gross, Frank 	UNI
Against the Ropes 		2003	Dutton, Charles S. 	3.31	USA 		Green, Jack 	Beason, Eric L. 	
Against the Wind 		1947	Crichton, Charles 	8.2	BRI 		Banes, Lionel 	Osbiston, Alan 	EAL
Agatha 		1979	Apted, Michael 	7.48	BRI 	s 	Storaro, Vittorio 	Clark, Jim 	
Age of Consent 		1969	Powell, Michael 	7.16	AUS 		Staudinger, Hannes 	Buckley, Anthony 	
Age of Heroes 		2011	Vitoria, Adrian 	4.53		s 	Hamilton, Mark 	Gill, Chris 	
Age of Innocence, The 		1993	Scorsese, Martin 	6.63	USA 	s 	Ballhaus, Michael 	Schoonmaker, Thelma 	
Agent Cody Banks 		2003	Zwart, Harold 	2.87	USA 		Crossan, Denis 	Miller, Jim 	MGM
Agent Cody Banks 2: Destination London 		2003	Allen, Kevin 	2.5	USA 		Crossan, Denis 	Ritchie, Andrew 	MGM
Agent for H.A.R.M. 		1966	Oswald, Gerd 	6.1	USA 		Crabe, James 	Rollins, D.E. 	
Agi Murad, il diavolo bianco 	White Warrior 	1959	Freda, Riccardo 	9.5	ITA 	s 	Bava, Mario 		
Agnes Brown 		1999	Huston, Anjelica 	5.3			Richmond, Anthony B. 	Gardos, Eva 	
Agnes of God 		1985	Jewison, Norman 	7.7	USA 		Nykvist, Sven 	Gibbs, Antony 	COL
Aguirre, der Zorn Gottes 	Aguirre, Wrath of God 	1972	Herzog, Werner 	12.19	GER 		Mauch, Thomas 	Mainke-Jellinghaus, B. 	
Ai no machi 	Town of Love 	1928	Tasaka, Tomotaka 	7.7	JAP 		Isayama, Saburo 		NIK
AI: Artificial Intelligence 		2001	Spielberg, Steven 	8.2	USA 		Kaminski, Janusz 	Kahn, Michael 	
Aimée & Jaguar 		1999	Färberböck, Max 	7.8	GER 		Imi, Tony 	Hennings & Schweizer 	
Air America 		1990	Spottiswoode, Roger 	4.22	USA 		Deakins, Roger 	Bloom, J. & Freeman-Fox 	
Air Bud 		1997	Smith, Charles Martin 	2.9	USA 		Southon, Mike 	Gray, Alison 	DIS
Air Bud: Golden Receiver 		1998	Martin, Richard 	2.7			Southon, Mike 	Lange, B. & Seabrook 	
Air Bud: World Pup 		2000	Bannerman, Bill 	2.87			Block, Cyrus 	Mazur, L. & Heron, K 	
Air Cadet 		1951	Pevney, Joseph 	7.1	USA 		Stine, Clifford 	Schoengarth, Russell 	UNI
Air Force 		1943	Hawks, Howard 	6.21	USA 		Howe, James Wong 	Amy, George 	WAR
Air Force One 		1997	Petersen, Wolfgang 	4.2	USA 		Ballhaus, Michael 	Francis-Bruce, Richa 	BVI
Air Hostess 		1933	Rogell, Albert 	8.4	USA 		Walker, Joseph 	Cahoon, Richard 	COL
