Title	Alternative Title	Year	Director	ASL	Country	Scope	Cinematographer	Editor	Studio
Manchurian Candidate, The 		2004	Demme, Jonathan 	5.22	USA 		Fujimoto, Tak 	Littleton & McKay 	PAR
Mandi 		1983	Benegal, Shyam 	11.3	IND 		Mehta, Ashok 	Divkar, Banudas 	
Mangler, The 		1994	Hooper, Tobe 	5	USA 		Salomon, Amnon 	Heitner, David 	
Manhattan Murder Mystery 		1993	Allen, Woody 	34.5	USA 		Di Palma, Carlo 	Morse, Susan E. 	
Manhunt 		1941	Lang, Fritz 	10	USA 				
Manhunter 		1986	Mann, Michael 	8.3	USA 		Spinotti, Dante 	Hoenig, Dov 	
Manic 		2001	Melamed, Jordan 	4.11	USA 		Hay, Nicholas 	Gavin & Vela 	
Mann ohne Kopf, Der 		1927	Malasomma, Nunzio 	5	GER 				
Manolito Gafotas 	Manolito Four-Eyes 	1999	Albaladejo, Miguel 	7.1	SPA 		Aldua, Alfonso Sanz 	Blanco, Pablo 	
Manon des Sources 		1986	Berri, Claude 	12.3	FRA 	s 	Nuytten, Bruno 	Louveau, Genevi?ve 	
Manpower 		1941	Walsh, Raoul 	7	USA 				
Manpower 		1941	Walsh, Raoul 	7	USA 				
Man's Best Friend 		1993	Lafia, John 	3.9	USA 		Irwin, Mark 	Knue, Michael N. 	NLI
Man's Castle 		1933	Borzage, Frank 	6.8	USA 		August, Joseph 	Lawrence, Viola 	COL
Mansfield Park 		1999	Rozema, Patricia 	6	BRI 		Coulter, Michael 	Walsh, Martin 	
Manslaughter 		1922	DeMille, Cecil B. 	8.5	USA 		Marley, Peverell 	De Mille 	PAR
Manthan 		1978	Benegal, Shyam 	9.1	IND 		Nihalani, Govind 	Banudas 	
Mantrap 		1926	Fleming, Victor 	4.5	USA 		Howe, James Wong 		
Manxman, The 		1928	Hitchcock, Alfred 	6	BRI 		Cox, Jack 	Ruelle, Emile de 	
Map of the Human Heart 		1992	Ward, Vincent 	6			Serra, Eduardo 	Scott, John 	
Mar adentro 	Sea Inside, The 	2004	Amenabar, Alejandro 	6.96			Aguirresarobe, Javier 	Amenabar, Alejandro 	
Marathon Man 		1976	Schlesinger, John 	5.64			Hall, Conrad L. 	Clark, Jim 	
Marauders, The 		1947	Archainbaud, George 	9.2	USA 		Stengler, Mack 	Berger, Fred W. 	HCP
March or Die 		1977	Richards, Dick 	3.71	USA 		Alcott, John 	Howard & Allen 	
Marching Out of Time 		1993	Vassil, Anton 	6.3	USA 		Daniels, Greg 	Hays, Rick & Vassil, 	
Mardi Gras 		1958	Goulding, Edmund 	12.5	USA 	s 	Cline, Wilfrid M. 	Simpson, Robert 	FOX
Margie 		1946	King, Henry 	14.1	USA 		Clarke, Charles G. 	McLean, Barbara 	FOX
Margin Call 		2011	Chandor, J.C. 	6.91	USA 		DeMarco, Frank 	Beaudreau, Pete 	
Margot at the Wedding 		2007	Baumbach, Noah 	4.74	USA 		Savides, Harris 	Littleton, Carol 	PAR
Maria Larssons eviga ögonblick 	Everlasting Moments 	2008	Troell, Jan 	5.74			Gavrjusjov, Mischa & Troell, Jan 	Niels Pagh Andersen 	
Maria Marten; or, Murder in the Red Barn 		1935	Rosmer, Milton 	10.9	BRI 		Strellon, George 	Saunders, Charles 	
Mariachi, el 		1992	Rodriguez, Robert 	2.34	USA 		Rodriguez, Robert 	Rodriguez, Robert 	COL
Marie Antoinette 		2006	Coppola, Sofia 	5.4			Acord, Lance 	Flack, Sarah 	
Marine Raiders 		1944	Schuster, Harold 	6.6	USA 		Musuraca, Nicholas 	Martin, Philip 	RKO
Marine, The 		2006	Bonito, John 	1.93			Eggby, David 	Puett, Dallas 	
Marius et Jeanette 		1997	Guédigian, Robert 	9.2	FRA 		Cavalié, Bernard 	Sasia, Bernard 	
Marjorie Morningstar 		1958	Rapper, Irving 	11.27	USA 		Stradling, Harry 	Blangsted, Folmar 	WAR
Mark of the Phoenix 		1957	Rogers, Maclean 	15.8	BRI 		Faithfull, Geoffrey 	Booth, Harry 	BUT
Mark of Zorro, The 		1940	Mamoulian, Rouben 	8	USA 				FOX
Marked for Death 		1990	Little, Dwight H. 	3.9	USA 		Waite, Ric 	Brown, O. Nicholas 	FOX
Marked Woman 		1937	Bacon, Lloyd 	10.6	USA 				WAR
Market: A Tale of Trade, The 		2008	Hopkins, Ben 	11.9			Kröning, Konstantin 	Levy, Alan 	
Marley & Me 		2008	Frankel, David 	4.29	USA 	s 	Ballhaus, Florian 	Livolsi, Mark 	
Marmaduke 		2010	Dey, Tom 	2.89	USA 	s 	Gardiner, Greg 	Zimmerman, Don 	
Marnie 		1964	Hitchcock, Alfred 	6	USA 				
Marooned 		1969	Sturges, John 	7.64	USA 	s 	Fapp, Daniel 	Thompson, Walter 	COL
Marquis de Sade: Justine 		1968	Franco, Jesus 	9.4			Merino, Manuel 	Wentworth, Nicholas 	
Marquise 		1997	Belmont, Véra 	6.2			Dreujou, Jean-Marie 	Giordano & Karimi 	
Marriage Circle, The 		1924	Lubitsch, Ernst 	6.5	USA 				
Married to the Mob 		1988	Demme, Jonathan 	5.74	USA 		Fujimoto, Tak 	McKay, Craig 	ORI
Mars Attacks! 		1996	Burton, Tim 	3.8	USA 		Suschitzky, Peter 	Lebenzon, Chris 	WAR
Marseille Contract, The 		1974	Parrish, Robert 	6.1			Slocombe, Douglas 	Kemplen, Willy 	
Marsh, The 		2006	Barker, Jordon 	3.83			Perrault, David 	Rotundo, Nick 	
Martha - Meet Frank, Daniel and Laurence 		1997	Hamm, Nick 	4	BRI 		Johnson, David 	Bradsell, Michael 	CH4
Martha and Ethel 		1993	Johnstone, Jyll 	10.6	USA 	d 	Shimin, Toby 	Cohen, Alysha 	
Martha Marcy May Marlene 		2011	Durkin, Sean 	26.47	USA 	s 	Lipes, Jody Lee 	Pontier, Zac Stuart 	
Martins, The 		2001	Grounds, Tony 	4.3	BRI 		Johnson, David 	Sales, Robin 	
Marty 		1955	Mann, Delbert 	20.6	USA 		LaShelle, Joseph 	Crosland, Jr., Alan 	
Martyrs of the Alamo 		1915	Cabanne, W.C. 	6	USA 				FA
Marvel Avengers Assemble 		2012	Whedon, Joss 	3.05	USA 		McGarvey, Seamus 	Ford, Jeffrey & Lassek, Lisa 	
Marvin's Room 		1996	Zaks, Jerry 	5.8	USA 		Sobocinski, Piotr 	Clark, Jim 	MMX
Marx Brothers Go West, The 		1940	Buzzell, Edward 	7.3	USA 		Smith, Leonard 	Sewell, Blanche 	MGM
Mary of Scotland 		1936	Ford, John 	10.14	USA 		August, Joseph H. 	Loring, Jane 	RKO
Mary Poppins 		1964	Stevenson, Robert 	5.4	USA 		Colman, Edward 	Warburton, Cotton 	DIS
Mary Reilly 		1996	Frears, Stephen 	6.64	USA 		Rousselot, Phillipe 	Walker, Lesley 	TRI
Mary, Mary 		1963	LeRoy, Mervyn 	9.4	USA 		Stradling, Harry 	Wages, David 	
Mary, Queen of Scots 		1971	Jarrott, Charles 	7.65			Challis, Christopher 	Marden, Richard 	
Mask 		1985	Bogdanovich, Peter 	7.41	USA 		Kovacs, Laszlo 	Ford, Barbara 	UNI
Mask of Dimitrios, The 		1944	Negulesco, Jean 	17	USA 				
Mask of Fu Manchu, The 		1932	Brabin, Charles 	8.6	USA 		Gaudio, Tony 	Lewis, Ben 	COS
Mask of Zorro, The 		1998	Campbell, Martin 	3.8	USA 	s 	Meheux, Phil 	Noble, Thom 	TRI
Mask, The 		1994	Russell, Charles 	4.47	USA 		Leonetti, John R. 	Coburn, Arthur 	NLI
Masked and Anonymous 		2003	Charles, Larry 	6.9			Stoffers, Rogier 	Alvarez, Scalia, Smith 	
Maslin Beach 		1997	Groom, Wayne 	7.7	AUS 		Bolton, Rodney 	Whittington, Simon 	
Masoom 		1983	Kapur, Shekhar 	11.5	IND 		Dhatt, Pravin 	Arunavikas 	
Masque of the Red Death, The 		1964	Corman, Roger 	7	BRI 				
Masquerade 		1988	Swaim, Bob 	7.05	USA 		Watkin, David 	Conrad, Scott 	MGM
Masques 		1987	Chabrol, Claude 	10.8	FRA 		Rabier, Jean 	Fardoulis, Monique 	
Massacre in Rome 		1973	Cosmatos, George P. 	5.61	ITA 		Gatti, Marcello 	Bonnot, F. & Silvi, R. 	
Master of Ballantrae, The 		1953	Keighley, William 	4.84	USA 		Cardiff, Jack 	Harris, Jack 	WAR
Master of Bankdam, The 		1947	Forde, Walter 	12.5	BRI 		Emmott, Basil 	Fisher, Terence 	
Master of Disguise, The 		2002	Blake, Perry Andelin 	3.59	USA 		Collister, Peter Adams 	Prior, P. & Solowitz 	REV
Master Race, The 		1944	Biberman, Herbert J. 	6.4	USA 		Metty, Russell 	Leadlay, Ernie 	RKO
Master Spy 		1964	Tully, Montgomery 	9	BRI 		Faithfull, Geoffrey 	Boyd-Perkins, Eric 	
Masterminds 		1997	Christian, Roger 	2.5	USA 		Morris, Nic 	Russell, Robin 	COL
Masters of the Universe 		1987	Goddard, Gary 	3.7	USA 		Baer, Hanania 	Coates, Anne V. 	CAN
Matador, The 		2005	Shephard, Richard 	4.95			Tattersal, David 	Kravetz-Avkanian, C. 	
Match Point 		2005	Allen, Woody 	15.13			Adferasin, Remi 	Lepselter, Alisa 	
Match, The 		1999	Davis, Mick 	4.9	BRI 		Stok, Witold 	Williams, Kate 	PGR
Matilda 		1996	De Vito, Danny 	2.91	USA 		Czapsky, Stefan 	Klingman, L. & White, B. 	TRI
Mating Game, The 		1959	Marshall, George 	11	USA 				
Mating Habits of the Earthbound Human, The 		1999	Abugov, Jeff 	5.6	USA 		Bucher, Michael K. 	Myers, Stephen 	
Matrix Reloaded, The 		2002	Wachowski, L. & A. 	3.03		s 	Pope, Bill 	Staenberg, Zach 	SIL
Matrix Revolutions, The 		2003	Wachowski, Larry & Andy 	3.14		s 	Pope, Bill 	Staenberg, Zach 	SIL
Matrix, The 		1999	Wachowski, Larry & Andy 	3.1	USA 		Pope, Bill 	Staenberg, Zach 	WAR
Matter Of Life And Death, A 		1946	Powell, Michael 	7.11	BRI 		Moore, Ted 	Watts, Roy 	
Mauprat 		1926	Epstein, Jean 	6.5	FRA 				
Maurice 		1987	Ivory, James 	8.6	BRI 		Lhomme, Pierre 	Kenning, Katherine 	
Maverick 		1994	Donner, Richard 	3.5	USA 	s 	Zsigmond, Vilmos 	Baird, Stuart 	
Maverick Queen, The 		1955	Kane, Joseph 	10.3	USA 	s 	Marta, Jack 	Van Enger, Richard L 	REP
Max 		1994	Wilkinson, Charles 	8.5	CAN 		Schliessler, Tobias 	Zubeck, Gary 	
Max Keeble's Big Move 		2001	Hill, Tim 	3	USA 		Albert, Arthur 	Lombardo & Prior, P. 	DIS
Max Payne 		2008	Moore, John 	3.8		s 	Sela, Jonathan 	Zimmerman, Dan 	
Maximum Risk 		1996	Lam, Ringo 	3.2	USA 		Grusynski, Alexander 	Pankow, Bill 	COL
Maybe Baby 		1999	Elton, Ben 	5	BRI 		Lanser, Roger 	Hollywood, Peter 	
Mayday 		1997	Bould, Chris 	8.7	GER 		Faust, Michael 	Mertens, Andrea 	
Mayerling 		1968	Young, Terence 	8.78		s 	Alekan, Henri 	Rayner, Benedick 	ABP
Mayor of Hell, The 		1933	Mayo, Archie 	6.7	USA 		McGill, Barney 	Killifer, Jack 	WAR
Maytime in Mayfair 		1949	Wilcox, Herbert 	31.1	BRI 		Greene, Max 	Poulton, Raymond 	
McCabe and Mrs. Miller 		1971	Altman, Robert 	5.7	USA 	s 	Szigmond, Vilmos 	Lombardo, Louis 	
McCinsey's Island 		1997	Firstenberg, Sam 	3.7	USA 		North, David 	Coughlin, Cari 	
McHale's Navy 		1964	Montaigne, Edward J. 	7.5	USA 		Margulies, William 	Waxman, Sam E. 	UNI
McHale's Navy 		1997	Spicer, Bryan 	4.6	USA 		Feitshans IV, Buzz 	Denove, Russell 	UNI
McKenzie Break, The 		1970	Johnson, Lamont 	5.31			Reed, Michael 	Rolf, Tom 	
McLintock! 		1963	McLagen, Andrew V. 	6.27	USA 	s 	Clothier, William H. 	Lovering & Lewis 	
McMasters, The 		1970	Kjellin, Alf 	7.3	USA 		Shorr, Lester 	Shapiro, Melvin 	
McQ 		1974	Sturges, John 	6.12	USA 	s 	Stradling Jnr., Harr 	Ziegler, William 	
Me and You and Everyone Else We Know 		2005	July, Miranda 	4.3	USA 		Chavez, Chuy 	Dikler, A. & Ireland 	
Me Without You 		2001	Goldbacher, Sandra 	6.07	BRI 		Crossan, Denis 	Ellis, Michael 	
Me, Myself & Irene 		2000	Farrelly, Bobby & Peter 	5.5	USA 		Irwin, Mark 	Greenbury, Christoph 	FOX
Me, You, Them 		2000	Waddington, Andrucha 	13.6	BRA 	s 	Silvieri, Breno 	Kubrusly, Vincente 	
Mean Creek 		2005	Estes, Jacob Aaron 	5.6	USA 		Meir, Sharone 	Gavin, Madeleine 	
Mean Girls 		2004	Waters, Mark S. 	3.22	USA 		Okada, Daryn 	Greene-Bricmont, Wendy 	PAR
Mean Machine 		2001	Skolnick, Barry 	2.27			Barber, Alex 	Hamilton & Williams 	
Mean Machine, The 		1974	Aldrich, Robert 	3.63	USA 		Biroc, Joseph 	Luciano, Michael 	
Mean Season, The 		1985	Borsos, Philip 	6.41	USA 		Tidy, Frank 	Dunham, Duwayne 	ORI
Mean Streets 		1973	Scorsese, Martin 	7.92	USA 		Wakeford, Kent 	Levin, Sid 	
Mean Streets 		1973	Scorsese, Martin 	8.05	USA 		Wakeford, Kent 	Levin, Sid 	
Mechanic, The 		2011	West, Simon 	2.24	USA 	s 	Schmidt, Eric 	Miller, Todd E. & Herrington, T.G. 	
Medallion, The 		2003	Chan, Gordon 	2.5			Wong, Arthur 	Brochu, Don 	
Medicine Man 		1992	McTiernan, John 	7.99	USA 	s 	McAlpine, Donald 	Miller, Michael R. 	CRG
Medvezhya Svadba 	Bear's Wedding, The 	1926	Gardin, V. & Eggert, K. 	4	RUS 		Yermolev, P. & Tisse 		
Meek's Cutoff 		2010	Reichardt, Kelly 	13.11	USA 		Blauveldt, Christopher 	Reichardt, Kelly 	
Meet Dave 		2008	Robbins, Brian 	3.28			Mathis, Clark 	Bastille, Ned 	
Meet Joe Black 		1998	Brest, Martin 	6.3	USA 		Lubezki, Emmanuel 	Hutshing & Tronick 	UNI
Meet Me After the Show 		1951	Sale, Richard 	12.4	USA 		Harling, Arthur E. 	Webb, J. Watson 	FOX
Meet Me at Dawn 		1946	Freeland, Thornton 	9.8	BRI 		Krampf, Gunther 	Jarvis, E.B. 	
Meet Me in Las Vegas 		1956	Rowland, Roy 	14.6	USA 	s 	Bronner, Robert 	Akst, Albert 	MGM
Meet Me in St. Louis 		1944	Minnelli, Vincente 	18.53	USA 		Folsey, George 	Akst, Albert 	MGM
Meet the Applegates 		1991	Lehman, Michael 	3.79	USA 		Dubin, Mitchell 	Hollyn, Norman 	NWO
Meet the Deedles 		1998	Boyum, Steve 	3.8	USA 		Hennings, David 	Cody, Alan 	DIS
Meet the Feebles 		1989	Jackson, Peter 	2.9	NZ 		Milne, Murray 	Selkirk, Jamie 	
Meet the Fockers 		2004	Roach, Jay 	2.72	USA 		Schwartzman, John 	Poll, J. & Haxall, L. 	DWK
Meet the Parents 		2000	Roach, Jay 	3.5	USA 		James, Peter 	Poll, Jon 	
Meet the Spartans 		2008	Freedberg, J. & Seltzer, A. 	2.46	USA 		Maurer, Shawn 	Prior, Peck 	
Meeting Venus 		1990	Szabo, Istvan 	7.8	BRI 		Koltai, Lajos 	Clark, Jim 	
Meghe dakha tara 		1960	Ghatak, Ritwik 	20.84	IND 		Gupta, Dinen 	Joshi, Ramesh 	
Meisje met de rode Haar, Het 		1981	Verbong, Ben 	13.9	HOL 		Sande, Theo van de 	Graaf, Ton de 	
Melinda and Melinda 		2004	Allen, Woody 	14.79	USA 		Zsigmond, Vilmos 	Lepselter, Alisa 	FOX
Melrose Place 		1999		4	USA 	t 			
Memento 		2000	Nolan, Christopher 	3.2	USA 		Pfister, Walter 	Dorn, Dody 	
Memoirs of a Geisha 		2005	Marshall, Rob 	5.85	USA 	s 	Beebe, Dion 	Scalia, Pietro 	COL
Memoirs of a Survivor 		1981	Gladwell, David 	9.5	BRI 		Lassally, Walter 	Shapter, William 	
Memoirs of an Invisible Man 		1992	Carpenter, John 	6.13	USA 	s 	Fraker, William A. 	Rothman, Marion 	WAR
Memories of Matsuko 		2006	Nakashima Tetsuya 	4.57	JAP 		Ato Masakazu 	Koike Yoshiyuki 	
Memphis Belle 		1990	Caton-Jones, Michael 	5.01			Watkin, David 	Clark, Jim 	
Men Don't Leave 		1990	Brickman, Paul 	8.6	USA 		Surtees, Bruce 	Chew, Richard 	WAR
Men in Black 		1997	Sonnenfeld, Barry 	4.1	USA 		Peterman, Don 	Miller, Jim 	AMB
Men in Black 2 		2002	Sonnenfeld, Barry 	3.3	USA 		Gardiner, Greg 	Weisberg & Pearson 	
Men in Black 3 		2012	Sonnenfeld, Barry 	3.16	USA 		Pope, Bill 	Zimmerman, Don 	
Men in War 		1957	Mann, Anthony 	7.53	USA 		Haller, Ernest 	Meyer, Richard C. 	
Men of America 		1932	Ince, Ralph 	6.8	USA 		Hunt, J. Roy 	Schroeder, Edward 	RKO
Men of Honor 		2000	Tillman, Jr., George 	3.2	USA 		Richmond, Anthony B. 	Carter, John 	FOX
Men of Means 		1997	Mendeluk, George 	4.5	CAN 		Bogner, Ludek 	Witcher, John 	
Men of Respect 		1991	Reilly, William 	8.42	USA 		Bukowski, Bobby 	Kling, Elizabeth 	
Men of Two Worlds 		1946	Dickinson, Thorold 	9.4	BRI 				
Men of War 		1994	Lang, Perry 	3.18			Schmidt, Ronn 	Reiner, Jeffrey 	
Men Who Stare at Goats, The 		2009	Heslov, Grant 	4.18		s 	Elswit, Robert 	Riegel, Tatiana S. 	
Men, The 		1950	Zinnemann, Fred 	8.67	USA 		de Grasse, Robert 	Gerstad, Harry 	
Menace, The 	Feathered Serpent, The 	1932	Neill, Roy William 	10.7	USA 		O'Connell, L. Willia 	Havlick, Gene 	COL
Menno's Mind 		1996	Kroll, Jon 	4.6	USA 		Tieche, Gary 	Myers, Stephen M. 	
Mephisto 		1981	Szabo, Istvan 	12.5			Koltai, Laszlo 	Csakany, Szusza 	
Mera naam joker 	My Name is Clown 	1970	Kapoor, Raj 	6.6	IND 		Karmakar, Radhu 	Kapoor, Raj 	
Mera Saaya 		1966	Khosla, Raj 	14.9	IND 		Babasaheb, V. 	Dhaimade, Das 	
mercenario, Il (A Professional Gun) 		1968	Corbucci, Sergio 	6	ITA 	s 	Ulloa, Alejandro 	Alabiso, Eugenio 	
Merci la vie 		1991	Blier, Bertrand 	11.8	FRA 	s 	Rousselot, Phillipe 	Merlin, Claude 	
Mercury Rising 		1998	Becker, Harold 	4.4	USA 		Seresin, Michael 	Honess, Peter 	IMA
Mercy Streets 		2000	Gunn, Jon 	3.45	USA 		Magee, Chris 	Hollis, Jeffrey & Gunn, Jon & Winn, Brett 	
Mere Mehboob 	My Beloved 	1963	Rawall, H.S. 	14.6	IND 		Singh, G. 	Sachdev, Krishnan 	
Merlusse 		1935	Pagnol, Marcel 	13	FRA 		Assouad, Ali 	Troye, Suzanne de 	FMP
Mermaids 		1990	Benjamin, Richard 	8.27	USA 		Atherton, Howard 	Cambas, Jacqueline 	
Merrill's Marauders 		1962	Fuller, Samuel 	6.78	USA 	s 	Clothier, William H. 	Blangsted, Folmar 	
Merry Widow, The 		1934	Lubitsch, Ernst 	13.5	USA 		Marsh, Oliver 	Marsh, Frances 	MGM
Merveilleuse Vie de Jeanne d'Arc, La 		1929	Gastyne, Marco de 	6	FRA 		Brun, Asselin,Gandoi 		
Mesonge, le 		1992	Margolin, Fran?ois 	16.6	FRA 		Champetier, Caroline 	Giordano, Martine 	
Message in a Bottle 		1998	Mandoki, Luis 	6.1	USA 		Deschanel, Caleb 	Weisberg, Steven 	
Messenger of Death 		1988	Lee-Thompson, J. 	4.2	USA 		Porath, Gideon 	Lee-Thompson, Peter 	CAN
Messengers, The 		2007	Pang, Danny & Oxide 	3.4	USA 		Geddes, David 	Axelrad, John & Minasian, Armen 	COL
Meteor 		1979	Neame, Ronald 	5.68	USA 	s 	Lohmann, Paul 	Kress, Carl 	
Meteor Man 		1993	Townsend, Robert 	3.7	USA 		Alonzo, John A. 	Bernardi, Adam 	MGM
Metro 		1997	Carter, Thomas 	3.3	USA 		Murphy, Fred 	Berger, Peter E. 	TOU
Metro Manila 		2013	Ellis, Sean 	3.23			Ellis, Sean 	Mettler, Richard 	
Metroland 		1997	Saville, Philip 	6.8	BRI 		Robin, Jean-Francois 	Miller, Greg 	
Metropolis 		1926	Lang, Fritz 	5.5	GER 				
Metropolitan 		1989	Stillman, Whit 	8.3	USA 		Thomas, John 	Tellefsen, Cristophe 	
Mexicali Rose 	Girl from Mexico, The 	1930	Kenton, Erle C. 	7.2	USA 		Tetzlaff, Ted 		COL
Mexican, The 		2001	Verbinski, Gore 	5.1	USA 	s 	Wolski, Dariusz 	Wood, Craig 	DWK
Mi Vida Loca 		1993	Anders, Allison 	6.6	USA 		Garcia, Rodrigo 	Chew, R. & Himoff, K 	
Miami Blues 		1990	Armitage, George 	6.66	USA 		Fujimoto, Tak 	Mackay, Craig 	
Miami Rhapsody 		1995	Frankel, David 	21.8	USA 		Wallner, Jack 	Weisberg, Stuart 	HOL
Miami Vice 		2006	Mann, Michael 	4.07		s 	Beebe, Dion 	Filipovic, Goldenberg, Rubell 	
Michael 		1996	Ephron, Nora 	5.1	USA 		Lindley, John 	Peroni, Geraldine 	TUR
Michael 		2011	Schleinzer, Markus 	22.49	OST 		Kerkletz, Gerald 	Widerhofer, Wolfgang 	
Michael Clayton 		2007	Gilroy, Tony 	6.38	USA 	s 	Elswit, Robert 	Gilroy, John 	
Michael Collins 		1996	Jordan, Neil 	8.7			Menges, Chris 		GEF
Michael Shayne, Private Detective 		1940	Forde, Eugene 	8.2	USA 		Schneiderman, George 	deGaetano, Al 	FOX
Michel Strogoff 		1926	Tourjansky, Victor 	4.6	FRA 				
Mickey Blue Eyes 		1999	Makin, Kelly 	3.7			Thorin, Donald E. 	Freeman, David 	CRO
Micmacs 		2009	Jeunet, Jean-Pierre 	4.82	FRA 	s 	Nagata, Tetsuo 	Schneid, Hervé 	
Microcosmos 		1996	Nuridsany, C. & Pérennou, 	7.1			Nuridsany & Pérennou 		
Middleton's Changeling 		1997	Thompson, Marcus 	5.6			Butland, Richard K.J 	Thompson, Marcus 	
Middletown 		2006	Kirk, Brian 	4.88	IRE 		Suschitzky, Adam 	Murrell, Tim 	
Midnight 		1939	Leisen, Mitchell 	9.5	USA 		Lang, Charles 	Harrison, Doane 	PAR
Midnight Clear, A 		1991	Gordon, Keith 	7.1	USA 		Richmond, Tom 	Brochu, Don 	
Midnight Cowboy 		1969	Schlesinger, John 	5.24			Holender, Adam 	Robertson, Hugh A. 	
Midnight Crossing 		1987	Holzberg, Roger 	5.4	USA 		Vargas, Henry 	Watson, Earl 	
Midnight Express 		1978	Parker, Alan 	4.47			Seresin, Michael 	Hambling, Gerry 	
Midnight in St. Petersburg 		1995	Jackson, Doug 	4.4			Benison, Peter 	Beique, Vidal 	
Midnight in the Garden of Good and Evil 		1997	Eastwood, Clint 	5.3	USA 		Green, Jack N. 	Cox, Joel 	WAR
Midnight Lace 		1960	Miller, David 	8.3	USA 		Metty, Russell 	Schoengarth & Barsha 	
Midnight Run 		1988	Brest, Martin 	4.41	USA 		Thorin, Donald 	Weber, Lebenzon, Tronick 	UNI
Midsummer Madness 		1921	de Mille, William C. 	10	USA 		Wilky, Guy 		FPL
Midsummer Night's Dream, A 		1935	Reinhardt, M. & Dieterle, 	7.8	USA 		Mohr, Hal 	Dawson, Ralph 	WAR
Midsummer Night's Dream, A 		1999	Hoffman, Michael 	8.3			Stapleton, Oliver 	Craven, Garth 	
Mientras Duermas 	Sleep Tight 	2011	Balagueró, Jaume 	5.6	SPA 	s 	Roso, Pablo 	La Cal, Guillermo 	
Mifunes sidste Sang 	Mifune 	1999	Kragh-Jacobsen, Soren 	5.1	DEN 		Mantle, Anthony Dod 	Oskarsdottir, Valdis 	
Mighty Aphrodite 		1995	Allen, Woody 	34.5	USA 		DiPalma, Carlo 	Morse, Susan E. 	
Mighty Celt 		2005	Elliot, Pearse 	3.28	IRE 		Deasy, Seamus 	Diskin, Dermot 	
Mighty Ducks, The 		1992	Herek, Stephen 	3.36	USA 		Del Ruth, Thomas 	Bock, L. & Link, J. 	DIS
Mighty Heart, A 		2007	Winterbottom, Michael 	3.2		s 	Zyskind, Marcel 	Christelis, Peter 	REV
Mighty Joe Young 		1949	Schoedsack, Ernest B. 	7.01	USA 		Hunt, J. Roy 	Cheesman, Ted 	
Mighty Joe Young 		1998	Underwood, Ron 	3.2	USA 		Peterman, D. & Wood, 	Hirsch, Paul 	DIS
Mighty Morphin Power Rangers: The Movie 		1995	Spicer, Bryan 	2.9	USA 		Murphy, Paul 	Wahrman, Wayne 	
Mighty Wind, A 		2003	Guest, Christopher 	7.27	USA 		Nelson, Arlene Donnelly 	Leighton, Robert 	CRO
Mighty, The 		1998	Chelsom, Peter 	4.2	USA 		Borman, John de 	Walsh, Martin M. 	MMX
Mike Bassett: England Manager 		2001	Barron, Steve 	5.8	BRI 		Eley, Mike 	Green, Colin 	
Milagro Beanfield War, The 		1988	Redford, Robert 	3.7	USA 		Greenberg, Robbie 	Miller, Dede & Jim 	
Mildred Pierce 		1945	Curtiz, Michael 	10.09	USA 		Haller, Ernest 	Weisbart, David 	WAR
Militia 		2000	Wynorski, Jim 	3.1	USA 		D'Ayala, Mario 	Daniels, William 	
Milk 	` 	2008	Van Sant, Gus 	8.31	USA 		Savides, Harris 	Graham, Elliot 	
Milk Money 		1994	Benjamin, Richard 	5	USA 		Watkin, David 	Cambas, Jacqueline 	PAR
Miller's Crossing 		1990	Coen, Joel 	5.6	USA 		Sonnenfeld, Barry 	Miller, Michael 	CIR
Million Dollar Baby 		2004	Eastwood, Clint 	5.02	USA 	s 	Stern, Tom 	Cox, Joel 	
Million Dollar Hotel, The 		2000	Wenders, Wim 	6.8	USA 	s 	Papamichael, Phedon 	Riegel, Tatiana S. 	
Million Pound Note, The 		1954	Neame, Ronald 	7.8	BRI 		Unsworth, Geoff 	Donner, Clive 	RAN
Million to One, A 	Million to Juan, A 	1994	Rodriguez, Paul 	5.5	USA 		Johnson, Bruce D. 		
Million, Le 		1931	Clair, René 	13	FRA 				
Millions 		2004	Boyle, Danny 	3.49	BRI 		Mantle, Anthony Dod 	Gill, Chris 	
Millions Like Us 		1943	Launder, F. & Gilliat, S. 	9	BRI 		Cox, Jack 	Dearing, R.E. 	GAI
Mimic 		1997	Toro, Guillermo del 	3.6	USA 		Lautsen, Dan 	Lussier, Patrick 	MMX
Mina Tannenbaum 		1993	Dugowson, Martine 	9.8	FRA 		Chapuis, Dominique 	Barraqué & Gallieni 	
Minato no Nihon musume 	Japanese Girls at the Harbour 	1933	Shimizu, Hiroshi 	6	JAP 		Sasaki, Taro 		SHO
Minbo no Onna 		1990	Itami, Juzo 	13.9	JAP 				
Mind Breakers 		1996	Gallo, Fred 	4.7	USA 		Parry, Mark 	Ernest, Karl 	
Mindhunters 		2003	Harlin, Renny 	2.3			Ganz, Robert 	Smith, Paul Martin & Farrell, Neil 	
Mine vaganti 	Loose Cannons 	2010	Ozpetek, Ferzan 	5.03	ITA 	s 	Calvesi, Maurizio 	Marone, Patrizio 	
Ministerpresidenten 		1916	Klercker, Georg af 	17	SWE 				HAS
Ministry of Fear, The 		1945	Lang, Fritz 	10	USA 				
Minnenans Band 		1916	Klercker, Georg af 	14	SWE 				HAS
Minority Report 		2002	Spielberg, Steven 	6	USA 		Kaminski, Janusz 	Kahn, Michael 	DWK
